                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                 1.1168,                 1.0197,                 1.2842,                 1.3073,                 1.3181,                 1.2696,                0.42624,                 0.3327,                0.29383,                0.13598,                 1.7989,                 2.0522,                 1.8527,                 1.8416,                 2.4773,                 1.6651,              0.0017307,              0.0017307,              0.0017307
                     71,                 1.1467,                  1.051,                 1.3045,                 1.3314,                 1.3559,                  1.293,                0.35725,                0.34883,                0.26581,                0.12458,                  1.858,                 2.3554,                 1.8968,                 1.8529,                 2.9159,                 1.6941,              0.0017268,              0.0017268,              0.0017268
                     72,                 1.1075,                 1.0072,                 1.2798,                  1.293,                 1.2762,                 1.2703,                0.35923,                 0.3327,                0.24107,                0.11172,                 1.8245,                 2.6324,                 1.8496,                 1.8726,                 3.1835,                 1.7134,              0.0017228,              0.0017228,              0.0017228
                     73,                 1.1352,                 1.0384,                 1.2865,                 1.3288,                 1.3167,                 1.2755,                0.35148,                0.37996,                0.27341,                0.12972,                 1.8235,                  2.259,                 1.8038,                  1.864,                 2.7943,                 1.6605,              0.0017188,              0.0017188,              0.0017188
                     74,                 1.1112,                 1.0188,                 1.2762,                 1.3185,                 1.2975,                 1.2752,                0.39227,                0.33677,                0.27533,                0.13319,                  1.808,                 2.4879,                 1.8124,                 1.8485,                 2.9165,                 1.6702,              0.0017149,              0.0017149,              0.0017149
                     75,                 1.1019,                 1.0107,                 1.2807,                 1.2813,                 1.2851,                 1.2711,                0.35191,                0.35917,                0.27502,                0.13536,                 1.7271,                 2.4323,                 1.7505,                 1.8559,                  2.874,                 1.6396,              0.0017109,              0.0017109,              0.0017109
                     76,                 1.0951,                0.99868,                 1.2604,                 1.3031,                  1.256,                  1.251,                0.40317,                0.43478,                0.31441,                0.15515,                 1.7242,                 2.0091,                 1.7662,                 1.8108,                 2.4289,                 1.6125,               0.001707,               0.001707,               0.001707
                     77,                 1.1033,                0.98953,                 1.2891,                 1.2799,                 1.2639,                 1.2724,                0.39193,                0.38014,                0.32663,                 0.1601,                 1.7313,                 1.9895,                  1.783,                 1.8162,                 2.4436,                 1.6473,               0.001703,               0.001703,               0.001703
                     78,                 1.0746,                0.96611,                  1.257,                 1.2503,                  1.235,                 1.2455,                0.41623,                0.39509,                0.34339,                0.17115,                  1.701,                 1.9626,                  1.716,                 1.7686,                 2.4216,                 1.5817,               0.001699,               0.001699,               0.001699
                     79,                 1.0822,                0.95042,                 1.2478,                 1.2539,                 1.2208,                 1.2371,                0.40657,                0.36106,                0.29333,                0.13786,                 1.8055,                 2.1574,                 1.7863,                 1.8534,                 2.5798,                 1.6393,              0.0016951,              0.0016951,              0.0016951
                     80,                 1.0923,                0.95302,                 1.2615,                 1.2864,                  1.205,                 1.2563,                 0.3831,                0.42722,                0.31777,                0.16012,                 1.7062,                 2.0739,                 1.7151,                 1.8104,                  2.511,                 1.6065,              0.0016911,              0.0016911,              0.0016911
                     81,                 1.0835,                0.96474,                 1.2466,                 1.2826,                 1.2223,                 1.2408,                0.37495,                0.41777,                0.33183,                0.15796,                 1.8062,                 2.2266,                 1.8317,                 1.8926,                 2.5586,                 1.6961,              0.0016872,              0.0016872,              0.0016872
                     82,                 1.0566,                0.92758,                 1.2371,                 1.2425,                 1.1829,                 1.2315,                0.36763,                0.39509,                0.30957,                0.16185,                 1.7367,                 2.0912,                 1.7225,                  1.835,                 2.5487,                 1.6166,              0.0016832,              0.0016832,              0.0016832
                     83,                 1.0554,                0.91996,                 1.2397,                 1.2538,                  1.181,                 1.2351,                0.31496,                0.37807,                0.24633,                0.11646,                 1.8519,                 2.4868,                 1.9011,                  1.945,                 2.8503,                 1.7708,              0.0016792,              0.0016792,              0.0016792
                     84,                 1.0652,                0.95206,                 1.2464,                 1.2603,                 1.2086,                 1.2455,                0.32911,                0.38563,                0.24274,                0.11639,                 1.8092,                  2.316,                 1.8644,                 1.9094,                 2.8063,                 1.7133,              0.0016753,              0.0016753,              0.0016753
                     85,                   1.06,                0.92445,                  1.237,                 1.2586,                 1.1751,                 1.2339,                0.33964,                0.31191,                0.23176,                0.09795,                 1.8379,                 2.6507,                 1.9079,                 1.9051,                 2.9911,                 1.7748,              0.0016713,              0.0016713,              0.0016713
                     86,                 1.0621,                0.93474,                 1.2488,                 1.2518,                 1.1795,                 1.2408,                0.27661,                0.40265,                0.24461,                0.12476,                 1.7095,                 2.5281,                 1.7314,                 1.7908,                 2.8151,                 1.6296,              0.0016674,              0.0016674,              0.0016674
                     87,                 1.0417,                 0.9021,                 1.2293,                 1.2356,                 1.1418,                 1.2281,                0.29532,                 0.3724,                0.23937,                0.12028,                 1.6995,                 2.4863,                  1.743,                 1.8497,                 2.8501,                 1.6877,              0.0016634,              0.0016634,              0.0016634
                     88,                  1.063,                0.90812,                 1.2368,                 1.2591,                  1.156,                 1.2372,                0.40549,                0.40743,                0.29721,                0.14947,                 1.7337,                 2.0892,                 1.7091,                 1.8132,                 2.5254,                  1.618,              0.0016594,              0.0016594,              0.0016594
                     89,                 1.0246,                0.90592,                 1.2192,                 1.1996,                 1.1551,                 1.2282,                0.37417,                0.37618,                0.29321,                0.15117,                 1.7201,                 2.1599,                 1.7449,                 1.8242,                 2.5462,                 1.6394,              0.0016555,              0.0016555,              0.0016555
                     90,                 1.0358,                0.90371,                 1.2312,                 1.2436,                 1.1566,                 1.2297,                0.35626,                 0.4121,                0.27497,                0.13262,                  1.801,                 2.2625,                 1.7893,                 1.9235,                 2.6133,                 1.7047,              0.0016515,              0.0016515,              0.0016515
                     91,                 1.0353,                0.89688,                 1.2211,                 1.2257,                  1.152,                 1.2206,                0.42899,                 0.3327,                0.27997,                0.14286,                 1.7437,                 2.2323,                 1.7605,                 1.8646,                 2.7071,                 1.6737,              0.0016476,              0.0016476,              0.0016476
                     92,                 1.0595,                0.90789,                 1.2368,                 1.2512,                 1.1627,                 1.2316,                0.40268,                 0.3327,                0.27615,                0.13032,                 1.7725,                 2.2798,                 1.7451,                 1.8844,                 2.8016,                 1.6647,              0.0016436,              0.0016436,              0.0016436
                     93,                  1.018,                0.89592,                 1.2256,                 1.2159,                 1.1448,                 1.2219,                0.38082,                 0.4174,                 0.3247,                0.16329,                 1.6858,                 2.0233,                 1.7165,                 1.8159,                 2.4697,                 1.6192,              0.0016396,              0.0016396,              0.0016396
                     94,                 1.0185,                0.88282,                 1.2054,                 1.2217,                 1.1406,                 1.2102,                0.45156,                0.44045,                0.37074,                0.18072,                 1.7097,                 1.8505,                 1.7321,                 1.8453,                 2.3093,                 1.6354,              0.0016357,              0.0016357,              0.0016357
                     95,                 1.0374,                0.88507,                 1.2221,                 1.2263,                 1.1375,                 1.2226,                0.44941,                0.41588,                0.35641,                0.17657,                 1.7183,                 1.8789,                 1.7312,                 1.8629,                 2.3807,                 1.6463,              0.0016317,              0.0016317,              0.0016317
                     96,                0.99466,                0.85895,                 1.1921,                 1.1867,                 1.0978,                 1.2016,                0.38586,                0.38374,                0.29926,                0.14188,                 1.7874,                 2.2287,                 1.8322,                 1.8955,                 2.7827,                 1.6827,              0.0016278,              0.0016278,              0.0016278
                     97,                  1.048,                0.88269,                 1.2189,                 1.2522,                 1.1325,                 1.2177,                 0.3585,                0.38563,                0.27442,                 0.1281,                 1.7702,                 2.2731,                 1.7933,                 1.8806,                 2.7767,                 1.6898,              0.0016238,              0.0016238,              0.0016238
